38	Austin	Oakland	San Francisco	Los Angeles	San Diego	Phoenix	Denver	Kansas City	Arlington	Milwaukee	Chicago - Wrigley	Chicago - U.S. Cellular	Cleveland	Baltimore	Detroit	Cincinnati	Minneapolis	Washington	Boston	Pittsburgh	St. Louis	Atlanta	Miami	St. Petersburg	Houston	Philadelphia	Flushing	The Bronx	Toronto	Seattle	Anaheim	Leitchfield	Hutsonville	Plainview	Dyersville	Mt. Pleasant	Durham	Cooperstown
Austin	0	3	4	3	3	2	2	1	1	2	2	2	3	3	3	2	2	3	4	3	2	2	3	2	0	3	4	4	3	5	3	2	2	1	2	3	3	4
Oakland	3	0	0	1	1	1	3	4	3	4	4	4	5	6	5	5	4	6	6	5	4	5	6	6	4	6	6	6	5	2	1	5	5	3	4	5	6	6
San Francisco	4	0	0	1	1	1	3	4	3	4	4	4	5	6	5	5	4	6	6	5	4	5	6	6	4	6	6	6	5	2	1	5	5	3	4	5	6	6
Los Angeles	3	1	1	0	0	1	2	3	3	4	4	4	5	5	5	4	4	5	6	5	4	4	6	5	3	6	6	6	5	2	0	4	4	2	3	5	5	6
San Diego	3	1	1	0	0	1	2	3	3	4	4	4	5	5	5	4	4	5	6	5	4	4	5	5	3	6	6	6	5	3	0	4	4	2	4	5	5	6
Phoenix	2	1	1	0	1	0	2	3	2	4	4	4	4	5	4	4	4	5	6	5	3	4	5	4	3	5	5	5	5	3	1	4	3	2	3	4	4	5
Denver	2	3	3	1	2	2	0	1	2	2	2	2	3	3	3	2	2	3	4	3	2	3	4	4	2	4	4	4	3	3	2	2	2	1	2	2	3	3
Kansas City	1	4	4	2	3	3	1	0	1	1	1	1	2	2	2	1	1	2	3	2	0	2	3	3	2	2	2	2	2	4	3	1	1	1	1	2	2	2
Arlington	1	3	3	3	3	2	2	1	0	2	2	2	2	3	3	2	2	3	4	2	1	2	3	2	1	3	3	3	3	4	3	2	2	1	2	2	2	3
Milwaukee	2	4	4	3	4	4	2	1	2	0	0	0	1	2	1	1	1	2	2	1	1	2	3	3	3	2	2	2	1	4	4	1	1	2	0	1	2	2
Chicago - Wrigley	2	4	4	4	4	4	2	1	2	0	0	0	1	1	1	1	1	1	2	1	1	2	3	2	2	2	2	2	1	4	4	1	0	2	0	1	2	2
Chicago - U.S. Cellular	2	4	4	4	4	4	2	1	2	0	0	0	1	1	1	1	1	1	2	1	1	1	3	3	2	2	2	2	1	4	4	1	0	2	0	1	2	1
Cleveland	3	5	5	5	5	4	3	2	3	1	1	1	0	1	0	0	1	1	1	0	1	1	2	2	3	1	1	1	1	5	5	1	1	3	1	1	1	1
Baltimore	3	6	6	6	5	5	3	2	3	2	1	1	1	0	1	1	2	0	1	0	2	1	2	2	3	0	0	0	1	5	5	1	1	3	2	1	1	1
Detroit	3	5	5	5	5	4	3	2	3	1	1	1	0	1	0	1	1	1	1	1	1	1	3	2	3	1	1	1	0	5	5	1	1	3	1	0	1	1
Cincinnati	2	5	5	5	4	4	2	1	2	1	1	1	0	1	0	0	1	1	2	1	1	1	2	2	2	1	1	1	1	5	4	0	0	2	1	1	1	1
Minneapolis	2	4	4	4	4	4	2	1	2	1	1	1	1	2	1	1	0	2	3	2	1	2	4	3	2	2	2	2	2	3	4	2	1	2	1	1	3	2
Washington	3	6	6	6	5	5	3	2	3	2	1	1	1	0	1	1	2	0	1	0	2	1	2	2	3	0	0	0	1	5	5	1	1	3	2	1	1	1
Boston	4	6	6	6	6	6	4	3	4	2	2	2	1	1	1	2	3	1	0	1	2	2	3	3	4	1	0	0	1	6	6	2	2	4	2	2	1	0
Pittsburgh	3	5	5	5	5	5	3	2	2	1	1	1	0	0	1	1	2	0	1	0	1	1	2	2	3	1	1	1	1	5	5	1	1	3	1	1	1	1
St. Louis	2	4	4	4	4	3	2	0	1	1	1	1	1	2	1	1	1	2	2	1	0	1	2	2	2	2	2	2	2	4	4	1	0	2	1	1	2	2
Atlanta	2	5	5	5	4	4	3	2	2	2	2	2	1	1	1	1	2	1	2	1	1	0	1	1	2	2	2	2	2	5	4	1	1	2	2	2	1	2
Miami	3	6	6	6	5	5	4	3	3	3	3	3	2	2	3	2	4	2	3	2	2	1	0	1	2	2	3	3	3	7	5	2	2	3	3	3	2	3
St. Petersburg	2	6	6	6	5	4	4	3	2	3	2	2	2	2	2	2	3	2	3	2	2	1	1	0	2	2	2	2	3	7	5	1	2	3	3	3	1	3
Houston	0	4	4	4	3	3	2	2	1	3	2	2	3	3	3	2	2	3	4	3	2	2	2	2	0	3	3	3	3	5	3	2	2	1	2	3	2	4
Philadelphia	3	6	6	6	6	5	4	2	3	2	2	2	1	0	1	1	2	0	1	1	2	2	2	2	3	0	0	0	1	6	6	1	2	4	2	2	1	1
Flushing	4	6	6	6	6	5	4	2	3	2	2	2	1	0	1	1	2	0	0	1	2	2	3	2	3	0	0	0	1	6	6	2	2	4	2	2	1	0
The Bronx	4	6	6	6	6	5	4	2	3	2	2	2	1	0	1	1	2	0	0	1	2	2	3	2	3	0	0	0	1	6	6	2	2	4	2	2	1	0
Toronto	3	5	5	5	5	5	3	2	3	1	1	1	1	1	0	1	2	1	1	1	2	2	3	3	3	1	1	1	0	5	5	1	1	3	1	1	2	1
Seattle	5	2	2	2	3	3	3	4	4	4	4	4	5	5	5	5	3	5	6	5	4	5	7	7	5	6	6	6	5	0	2	5	5	4	4	5	6	6
Anaheim	3	1	1	1	0	1	2	3	3	4	4	4	5	5	5	4	4	5	6	5	4	4	5	5	3	6	6	6	5	2	0	4	4	2	4	5	5	6
Leitchfield	2	5	5	5	4	4	2	1	2	1	1	1	1	1	1	0	2	1	2	1	1	1	2	1	2	1	2	2	1	5	4	0	0	2	1	1	1	2																																																																																																																																																		
Hutsonville	2	5	5	5	4	3	2	1	2	1	0	0	1	1	1	0	1	1	2	1	0	1	2	2	2	2	2	2	1	5	4	0	0	2	1	1	1	2																																																																																																																																																		
Plainview	1	3	3	3	2	2	1	1	1	2	2	2	3	3	3	2	2	3	4	3	2	2	3	3	1	4	4	4	3	4	2	2	2	0	2	3	3	4																																																																																																																																																		
Dyersville	2	4	4	4	4	3	2	1	2	0	0	0	1	2	1	1	1	2	2	1	1	2	3	3	2	2	2	2	1	4	4	1	1	2	0	1	2	2																																																																																																																																																		
Mt. Pleasant	3	5	5	5	5	4	2	2	2	1	1	1	1	1	0	1	1	1	2	1	1	2	3	3	3	2	2	2	1	5	5	1	1	3	1	0	2	1																																																																																																																																																		
Durham	3	6	6	6	5	4	3	2	2	2	2	2	1	1	1	1	3	1	1	1	2	1	2	1	2	1	1	1	2	6	5	1	1	3	2	1	0	1																																																																																																																																																		
Cooperstown	4	6	6	6	6	5	3	2	3	2	2	2	1	1	1	1	2	1	0	1	2	2	3	3	4	1	0	0	1	6	6	2	2	4	2	2	1	0																																																																																																																																																		
Schedule	4/1/07	4/2/07	4/3/07	4/4/07	4/5/07	4/6/07	4/7/07	4/8/07	4/9/07	4/10/07	4/11/07	4/12/07	4/13/07	4/14/07	4/15/07	4/16/07	4/17/07	4/18/07	4/19/07	4/20/07	4/21/07	4/22/07	4/23/07	4/24/07	4/25/07	4/26/07	4/27/07	4/28/07	4/29/07	4/30/07	5/1/07	5/2/07	5/3/07	5/4/07	5/5/07	5/6/07	5/7/07	5/8/07	5/9/07	5/10/07	5/11/07	5/12/07	5/13/07	5/14/07	5/15/07	5/16/07	5/17/07	5/18/07	5/19/07	5/20/07	5/21/07	5/22/07	5/23/07	5/24/07	5/25/07	5/26/07	5/27/07	5/28/07	5/29/07	5/30/07	5/31/07	6/1/07	6/2/07	6/3/07	6/4/07	6/5/07	6/6/07	6/7/07	6/8/07	6/9/07	6/10/07	6/11/07	6/12/07	6/13/07	6/14/07	6/15/07	6/16/07	6/17/07	6/18/07	6/19/07	6/20/07	6/21/07	6/22/07	6/23/07	6/24/07	6/25/07	6/26/07	6/27/07	6/28/07	6/29/07	6/30/07	7/1/07	7/2/07	7/3/07	7/4/07	7/5/07	7/6/07	7/7/07	7/8/07	7/9/07	7/10/07	7/11/07	7/12/07	7/13/07	7/14/07	7/15/07	7/16/07	7/17/07	7/18/07	7/19/07	7/20/07	7/21/07	7/22/07	7/23/07	7/24/07	7/25/07	7/26/07	7/27/07	7/28/07	7/29/07	7/30/07	7/31/07	8/1/07	8/2/07	8/3/07	8/4/07	8/5/07	8/6/07	8/7/07	8/8/07	8/9/07	8/10/07	8/11/07	8/12/07	8/13/07	8/14/07	8/15/07	8/16/07	8/17/07	8/18/07	8/19/07	8/20/07	8/21/07	8/22/07	8/23/07	8/24/07	8/25/07	8/26/07	8/27/07	8/28/07	8/29/07	8/30/07	8/31/07	9/1/07	9/2/07	9/3/07	9/4/07	9/5/07	9/6/07	9/7/07	9/8/07	9/9/07	9/10/07	9/11/07	9/12/07	9/13/07	9/14/07	9/15/07	9/16/07	9/17/07	9/18/07	9/19/07	9/20/07	9/21/07	9/22/07	9/23/07	9/24/07	9/25/07	9/26/07	9/27/07	9/28/07	9/29/07	9/30/07	
Cleveland	6	5	4	3	2	2	1	2	1	1	1	2	1	1	11	10	9	8	7	6	5	4	3	2	1	2	1	1	3	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	5	4	3	2	1	1	1	2	1	1	2	1	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	6	5	4	3	2	1	1	1	1	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	3	2	1	1	x	x	x	x	x	x	x	x					
Baltimore	9	8	7	6	5	4	3	2	2	1	1	1	1	1	6	5	4	3	2	1	1	2	1	2	1	1	8	7	6	5	4	3	2	1	1	2	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	3	2	1	1	1	7	6	5	4	3	2	1	1	1	3	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	x					
Detroit	2	3	2	2	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	2	6	5	4	3	2	1	2	2	1	1	7	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	2	2	1	1	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	1	2	1	7	6	5	4	3	2	1	1	2	1	1	2	1	9	8	7	6	5	4	3	2	1	1	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	x	x	x	x					
Cincinnati	2	3	2	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	2	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	3	2	1	2	1	1	1	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	9	8	7	6	5	4	3	2	2	1	3	2	1	1	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	x					
Minneapolis	2	1	1	1	5	4	3	2	1	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	2	1	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	3	2	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	2	1	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	2	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	1	2	x	x	x	x	x	x	x	x					
Washington	2	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	2	9	8	7	6	5	4	3	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	3	2	2	2	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	2	2	2	x	x	x	x	x	x	x	x					
Boston	10	9	8	7	6	5	4	3	2	2	1	2	1	2	2	5	4	3	2	1	2	2	1	1	7	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	1	2	2	1	1	1	1	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	2	7	6	5	4	3	2	1	1	1	2	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	6	5	4	3	2	1	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	x					
Pittsburgh	9	8	7	6	5	4	3	2	2	1	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	1	8	7	6	5	4	3	2	1	1	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	2	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	8	7	6	5	4	3	2	1	1	2	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	x					
St. Louis	1	2	1	1	9	8	7	6	5	4	3	2	1	2	2	1	8	7	6	5	4	3	2	1	1	2	1	1	6	5	4	3	2	1	2	2	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	6	5	4	3	2	1	1	2	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	1	1	1	x	x	x	x	x	x	x	x					
Atlanta	6	5	4	3	2	1	1	3	2	1	1	1	1	1	4	3	2	1	1	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	2	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	2	1	1	1	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	2	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	2	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	x	x	x	x	x	x	x	x					
Miami	6	5	4	3	2	2	2	2	2	2	8	7	6	5	4	3	2	2	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	8	7	6	5	4	3	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	9	8	7	6	5	4	3	2	2	2	2	3	2	2	2	x	x	x	x					
St. Petersburg	6	5	4	3	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	2	2	8	7	6	5	4	3	2	2	2	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	5	4	3	2	2	2	3	2	2	2	2	9	8	7	6	5	4	3	2	2	2	9	8	7	6	5	4	3	2	2	2	2	2	2	2	15	14	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	3	2	2	2	9	8	7	6	5	4	3	2	2	2	2	2	2	3	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	2	2	2	2	2	2	2	9	8	7	6	5	4	3	2	2	2	3	2	2	2	13	12	11	10	9	8	7	6	5	4	3	2	2	2	3	2	2	2	x	x	x	x					
Houston	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	10	9	8	7	6	5	4	3	2	1	1	3	2	1	1	1	8	7	6	5	4	3	2	1	1	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	2	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	2	1	1	1	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	x					
Philadelphia	2	3	2	1	9	8	7	6	5	4	3	2	1	2	2	1	1	7	6	5	4	3	2	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	2	8	7	6	5	4	3	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	1	1	1	1	8	7	6	5	4	3	2	1	2	2	1	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	x					
Flushing	9	8	7	6	5	4	3	2	3	2	1	1	1	2	6	5	4	3	2	1	2	2	1	1	6	5	4	3	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	3	2	1	1	1	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	2	2	1	1	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	1	2	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	2	x					
The Bronx	2	3	2	2	1	1	2	10	9	8	7	6	5	4	3	2	1	1	7	6	5	4	3	2	1	1	1	2	6	5	4	3	2	1	2	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	3	2	1	1	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	2	2	1	2	9	8	7	6	5	4	3	2	1	1	1	2	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	9	8	7	6	5	4	3	2	1	1	2	1	1	2	10	9	8	7	6	5	4	3	2	1	1	2	1	2	2	2	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	2	x	x	x	x	x	x	x	x					
Toronto	9	8	7	6	5	4	3	2	1	1	1	1	1	2	3	2	1	1	9	8	7	6	5	4	3	2	1	1	2	1	8	7	6	5	4	3	2	1	1	1	1	2	2	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	3	2	1	1	9	8	7	6	5	4	3	2	1	2	3	2	1	1	1	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	13	12	11	10	9	8	7	6	5	4	3	2	1	2	2	1	1	10	9	8	7	6	5	4	3	2	1	2	2	2	1	1	6	5	4	3	2	1	1	1	1	2	2	1	1	10	9	8	7	6	5	4	3	2	1	2	10	9	8	7	6	5	4	3	2	1	1	1	1	2	2	1	1	1	9	8	7	6	5	4	3	2	1	1	x					
Seattle	2	2	1	1	9	8	7	6	5	4	3	2	1	2	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	1	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	2	1	1	3	2	1	1	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	1	8	7	6	5	4	3	2	1	1	1	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	1	1	1	10	9	8	7	6	5	4	3	2	1	1	1	1	2	x					
Anaheim	2	1	1	2	1	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	2	1	1	13	12	11	10	9	8	7	6	5	4	3	2	1	1	1	2	1	1	2	1	1	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	1	9	8	7	6	5	4	3	2	1	1	3	2	1	1	9	8	7	6	5	4	3	2	1	1	1	2	1	1	9	8	7	6	5	4	3	2	1	1	1	1	1	1	6	5	4	3	2	1	1	2	1	1	2	1	1	1	9	8	7	6	5	4	3	2	1	1	2	1	1	1	x	x	x	x	x	x	x	x					
Leitchfield	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
Hutsonville	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
Plainview	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
Dyersville	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
Mt. Pleasant	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
Durham	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
